都道府県名,年齢5歳階級,元号,和暦（年）,西暦（年）,人口（総数）,人口（男）,人口（女）
北海道,総数,大正,9,1920,2359183,1244322,1114861
北海道,0～4歳,大正,9,1920,376676,190044,186632
北海道,5～9歳,大正,9,1920,319370,161814,157556
北海道,10～14歳,大正,9,1920,270012,138018,131994
北海道,15～19歳,大正,9,1920,239092,125670,113422
北海道,20～24歳,大正,9,1920,208337,109351,98986
北海道,25～29歳,大正,9,1920,175257,96638,78619
北海道,30～34歳,大正,9,1920,157450,86287,71163
北海道,35～39歳,大正,9,1920,143281,78926,64355
北海道,40～44歳,大正,9,1920,127242,70818,56424
北海道,45～49歳,大正,9,1920,97859,55004,42855
北海道,50～54歳,大正,9,1920,76617,43412,33205
北海道,55～59歳,大正,9,1920,53524,29659,23865
北海道,60～64歳,大正,9,1920,44115,23975,20140
北海道,65～69歳,大正,9,1920,33402,17456,15946
北海道,70～74歳,大正,9,1920,21433,10466,10967
北海道,75～79歳,大正,9,1920,10484,4766,5718
北海道,80歳以上,大正,9,1920,5032,2018,3014
北海道,総数,大正,14,1925,2498679,1305473,1193206
北海道,0～4歳,大正,14,1925,405607,204576,201031
北海道,5～9歳,大正,14,1925,336438,170315,166123
北海道,10～14歳,大正,14,1925,300821,153388,147433
北海道,15～19歳,大正,14,1925,252275,131986,120289
北海道,20～24歳,大正,14,1925,215391,112790,102601
北海道,25～29歳,大正,14,1925,186159,99237,86922
北海道,30～34歳,大正,14,1925,152114,83238,68876
北海道,35～39歳,大正,14,1925,139774,76040,63734
北海道,40～44歳,大正,14,1925,126620,68948,57672
北海道,45～49歳,大正,14,1925,112769,61572,51197
北海道,50～54歳,大正,14,1925,85288,46801,38487
北海道,55～59歳,大正,14,1925,64998,35637,29361
北海道,60～64歳,大正,14,1925,43812,23516,20296
北海道,65～69歳,大正,14,1925,33679,17441,16238
北海道,70～74歳,大正,14,1925,23395,11550,11845
北海道,75～79歳,大正,14,1925,12971,5829,7142
北海道,80～84歳,大正,14,1925,5054,2084,2970
北海道,85歳以上,大正,14,1925,1514,525,989
北海道,総数,昭和,5,1930,2812335,1468540,1343795
北海道,0～4歳,昭和,5,1930,445457,224549,220908
北海道,5～9歳,昭和,5,1930,383080,193478,189602
北海道,10～14歳,昭和,5,1930,329334,167701,161633
北海道,15～19歳,昭和,5,1930,296826,154310,142516
北海道,20～24歳,昭和,5,1930,248258,132268,115990
北海道,25～29歳,昭和,5,1930,214713,116156,98557
北海道,30～34歳,昭和,5,1930,180075,97392,82683
北海道,35～39歳,昭和,5,1930,148585,81969,66616
北海道,40～44歳,昭和,5,1930,132094,71915,60179
北海道,45～49歳,昭和,5,1930,117921,63638,54283
北海道,50～54歳,昭和,5,1930,102601,55382,47219
北海道,55～59歳,昭和,5,1930,76118,40916,35202
北海道,60～64歳,昭和,5,1930,55651,29551,26100
北海道,65～69歳,昭和,5,1930,35062,18006,17056
北海道,70～74歳,昭和,5,1930,23986,11630,12356
北海道,75～79歳,昭和,5,1930,14204,6488,7716
北海道,80歳以上,昭和,5,1930,8370,3191,5179
北海道,総数,昭和,10,1935,3068282,1593845,1474437
北海道,0～4歳,昭和,10,1935,462550,234131,228419
北海道,5～9歳,昭和,10,1935,417967,210495,207472
北海道,10～14歳,昭和,10,1935,372110,188761,183349
